iter	F1	Logloss
0	0.7129779109	0.6899200256
1	0.7225104433	0.6865372993
2	0.7300441441	0.6833464351
3	0.73089614	0.6802814336
4	0.7306172462	0.6772230055
5	0.7282262365	0.6742967896
6	0.730121724	0.6710247107
7	0.7305265159	0.6680714414
8	0.7326569705	0.6651710937
9	0.7311992132	0.6624206694
10	0.7297080601	0.6596542
11	0.7292463876	0.6568683386
12	0.7273232102	0.654232377
13	0.7260160384	0.6514887903
14	0.727789232	0.6488817891
15	0.7265459317	0.6464178824
16	0.7271054468	0.6441507591
17	0.7256400016	0.6420349519
18	0.7266065551	0.6393926961
19	0.7270126128	0.6370983345
20	0.7278247354	0.6347104967
21	0.7277309232	0.6325668795
22	0.7270438065	0.6303321705
23	0.726856457	0.6282488012
24	0.7270438571	0.626043961
25	0.7274811032	0.6241323573
26	0.7269813459	0.622211744
27	0.7271996636	0.6202576845
28	0.7279807127	0.6184029214
29	0.728604029	0.6166313067
30	0.7284176188	0.6145800161
31	0.7282919335	0.612957716
32	0.7272936042	0.611306113
33	0.727324683	0.6096359965
34	0.7273869625	0.6078409508
35	0.7278548742	0.6060770826
36	0.7274808756	0.6045578413
37	0.7272623638	0.6029863629
38	0.7274177846	0.6016510125
39	0.7277604871	0.6000959702
40	0.7262949876	0.5987474677
41	0.7274489879	0.5971811462
42	0.727386395	0.5958837519
43	0.7277913419	0.5944102234
44	0.729256736	0.5927567953
45	0.7294726043	0.5916070012
46	0.7293466368	0.5902493903
47	0.7295038578	0.5888000086
48	0.7293798535	0.5875937377
49	0.7293173452	0.5863712722
50	0.7291611213	0.5849522491
51	0.7290639548	0.583973149
52	0.7286609515	0.5829087225
53	0.7285050715	0.5817769621
54	0.7287537713	0.5805455046
55	0.7285057114	0.5792547821
56	0.7280373804	0.5782777984
57	0.7297125507	0.5770354513
58	0.7296802807	0.5757195802
59	0.7296179967	0.5745068178
60	0.7294020838	0.5731567414
61	0.7297091814	0.5721685171
62	0.7297091814	0.5711249351
63	0.7291832167	0.5700727398
64	0.7302996221	0.5687791964
65	0.7299594666	0.5675901844
66	0.7298983585	0.5663851244
67	0.7312616173	0.565171297
68	0.731938662	0.5643278914
69	0.7309808824	0.5635536774
70	0.7317222553	0.5623486822
71	0.7311680151	0.5613006766
72	0.7317573395	0.5601162405
73	0.731784649	0.5594133823
74	0.7314434327	0.5586070276
75	0.7315974998	0.5576462975
76	0.7325876138	0.5568636431
77	0.7326812803	0.5559084569
78	0.7327125077	0.5549698785
79	0.732063484	0.5541532555
80	0.732342309	0.5533323689
81	0.733392377	0.5524558972
82	0.733392377	0.551599311
83	0.7331137271	0.5509352848
84	0.7329912344	0.5501523056
85	0.733392377	0.5493545567
86	0.733394978	0.5486077118
87	0.7340463374	0.5478295135
88	0.7338899072	0.5471532898
89	0.7339837573	0.5463733681
90	0.7342341418	0.5457014744
91	0.734416014	0.5451803698
92	0.7346007714	0.54445206
93	0.7338614181	0.543775636
94	0.7343877162	0.5430129556
95	0.7345129751	0.5421801132
96	0.7346069473	0.5413657199
97	0.7352206836	0.540907994
98	0.7350360077	0.540153983
99	0.7349171451	0.5396076093
100	0.7346727259	0.5389566139
101	0.7347009435	0.5384904936
102	0.7347949638	0.5377914466
103	0.7347949638	0.5371702164
104	0.7346727259	0.5366295797
105	0.7354121276	0.5360424783
106	0.7352900757	0.5353342486
107	0.735384172	0.5348151556
108	0.7351960035	0.5344790461
109	0.7353807696	0.5337216576
110	0.735628207	0.5330297765
111	0.7361820395	0.5324516494
112	0.7367393304	0.5319341772
113	0.7367746888	0.5314050542
114	0.7371122	0.5308827275
115	0.7368061034	0.5302890289
116	0.7361303949	0.529736976
117	0.7367786513	0.5291373504
118	0.7373363721	0.5283474469
119	0.7379525644	0.5277944292
120	0.7372461894	0.5273146243
121	0.7375565789	0.5267260119
122	0.7382313	0.5260927218
123	0.7377096095	0.5256008103
124	0.7381144177	0.5251526894
125	0.7389147536	0.5245879515
126	0.7388517419	0.5240439398
127	0.7385776897	0.5236830621
128	0.7383933219	0.5231722201
129	0.7387935129	0.5225877278
130	0.7384878385	0.5220545614
131	0.7385461863	0.5215644837
132	0.739077218	0.5210467036
133	0.7391087543	0.5203633604
